Name,Age,Team_2122,GP_2122,W_2122,SO_2122,SV_2122,SV%_2122,Yrs,Team_2021,GP_2021,W_2021,SO_2021,SV_2021,SV%_2021,Team_1920,GP_1920,W_1920,SO_1920,SV_1920,SV%_1920,Pos_2122,G_2122,A_2122,PTS_2122,GWG_2122,TOI_2122,SOG_2122,Hits_2122,Blocks_2122,PPG_2122,PPP_2122,Pos_2021,G_2021,A_2021,PTS_2021,GWG_2021,TOI_2021,SOG_2021,Hits_2021,Blocks_2021,PPG_2021,PPP_2021,Pos_1920,G_1920,A_1920,PTS_1920,GWG_1920,TOI_1920,SOG_1920,Hits_1920,Blocks_1920,PPG_1920,PPP_1920,ADP,Pos
JACK LAFONTAINE,24,,2,0,0,32,0.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ARVID SODERBLOM,22,CHI,3,0,0,82,0.863,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
FELIX SANDSTROM,25,PHI,5,0,0,161,0.91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MICHAEL DIPIETRO,23,VAN,1,0,0,14,0.824,1,,,,,,,VAN,1,0,0,6,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ADAM HUSKA,25,,1,0,0,32,0.821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CONNOR MCDAVID,25,EDM,80,,,,,4,EDM,56,,,,,EDM,64,,,,,C,44,79,123,9,22:04,314,75,26,10,44,C,33,72,105,11,22:09,200,61,24,9,37,C,34,63,97,7,21:52,212,37,18,11,43,1,F
JOHNNY GAUDREAU,28,CBJ,82,,,,,6,CBJ,56,,,,,CBJ,70,,,,,L,40,75,115,9,18:35,262,10,9,6,25,L,19,29,48,5,18:25,112,8,9,7,19,L,18,40,58,2,18:47,209,1,11,6,18,50,F
JONATHAN HUBERDEAU,29,FLA,80,,,,,1,FLA,55,,,,,FLA,69,,,,,L,30,85,115,7,19:26,222,99,28,5,38,L,20,41,61,1,18:25,122,51,11,5,24,L,23,55,78,3,18:46,152,51,26,5,29,15,F
LEON DRAISAITL,26,EDM,80,,,,,3,EDM,56,,,,,EDM,71,,,,,L,55,55,110,11,22:21,278,53,25,24,41,L,31,53,84,8,22:11,168,37,12,15,32,L,43,67,110,11,22:37,218,27,19,16,44,2,F
KIRILL KAPRIZOV,25,MIN,81,,,,,4,MIN,55,,,,,,,,,,,L,47,61,108,5,19:06,289,73,29,14,31,L,27,24,51,3,18:18,157,29,18,8,13,,,,,,,,,,,,28,F
STEVEN STAMKOS,32,T.B,81,,,,,2,T.B,38,,,,,T.B,57,,,,,C,42,64,106,11,18:29,241,93,31,16,36,C,17,17,34,1,18:16,91,38,10,10,15,C,29,37,66,7,18:25,176,69,38,10,19,31,F
AUSTON MATTHEWS,24,TOR,73,,,,,2,TOR,52,,,,,TOR,70,,,,,C,60,46,106,10,20:37,348,67,62,16,29,C,41,25,66,12,21:33,222,57,47,10,13,C,47,33,80,5,20:58,290,40,60,12,25,8,F
MATTHEW TKACHUK,24,CGY,82,,,,,0,CGY,56,,,,,CGY,69,,,,,R,42,62,104,6,17:54,253,93,20,12,29,R,16,27,43,0,18:09,151,132,9,4,15,R,23,38,61,6,18:18,188,122,22,5,19,36,F
J.T. MILLER,29,VAN,80,,,,,1,VAN,53,,,,,VAN,69,,,,,C,32,67,99,6,21:04,206,172,56,8,38,C,15,31,46,4,20:58,106,90,24,3,18,C,27,45,72,4,20:06,165,123,38,9,25,51,F
MITCHELL MARNER,25,TOR,72,,,,,3,TOR,55,,,,,TOR,59,,,,,R,35,62,97,5,20:53,224,75,31,6,25,R,20,47,67,5,22:26,156,23,41,0,14,R,16,51,67,2,21:33,154,24,37,6,24,14,F
ROMAN JOSI,32,NSH,80,,,,,6,NSH,48,,,,,NSH,69,,,,,D,23,73,96,2,25:33,281,66,133,11,37,D,8,25,33,3,24:21,141,27,83,1,14,D,16,49,65,1,25:47,260,52,108,4,23,58,D
ARTEMI PANARIN,30,NYR,75,,,,,4,NYR,42,,,,,NYR,69,,,,,L,22,74,96,5,19:13,177,22,14,5,37,L,17,41,58,1,19:39,106,13,7,5,18,L,32,63,95,4,20:36,209,25,18,7,24,9,F
KYLE CONNOR,25,WPG,79,,,,,4,WPG,56,,,,,WPG,71,,,,,L,47,46,93,9,21:47,317,32,23,8,27,L,26,24,50,5,18:45,166,18,18,10,13,L,38,35,73,8,21:05,239,18,17,9,17,49,F
MIKKO RANTANEN,25,COL,75,,,,,3,COL,52,,,,,COL,42,,,,,R,36,56,92,2,20:58,254,58,43,16,35,R,30,36,66,7,19:55,177,26,20,9,24,R,19,22,41,5,18:57,107,28,23,8,14,6,F
PATRICK KANE,33,CHI,78,,,,,1,CHI,56,,,,,CHI,70,,,,,R,26,65,91,2,21:49,287,11,26,9,31,R,15,51,66,3,22:14,191,13,15,3,22,R,33,51,84,2,21:20,275,24,19,8,23,13,F
ALEX OVECHKIN,36,WSH,77,,,,,4,WSH,45,,,,,WSH,68,,,,,L,50,40,90,5,20:34,334,155,25,16,29,L,24,18,42,6,19:30,182,98,23,9,17,L,48,19,67,3,20:40,311,184,30,13,18,11,F
ALEKSANDER BARKOV,26,FLA,67,,,,,6,FLA,50,,,,,FLA,66,,,,,C,39,49,88,5,20:18,214,50,42,12,26,C,26,32,58,6,20:56,176,31,37,7,19,C,20,42,62,2,20:01,172,21,35,7,20,23,F
NATHAN MACKINNON,26,COL,65,,,,,1,COL,48,,,,,COL,69,,,,,C,32,56,88,5,21:04,299,68,39,7,27,C,20,45,65,2,20:23,206,38,15,8,25,C,35,58,93,4,21:13,318,51,31,12,31,3,F
NAZEM KADRI,31,,71,,,,,0,,56,,,,,,51,,,,,C,28,59,87,6,19:15,247,52,19,8,29,C,11,21,32,3,16:28,170,36,19,3,9,C,19,17,36,1,17:26,133,61,9,4,11,,F
MATT DUCHENE,31,NSH,78,,,,,4,NSH,34,,,,,NSH,66,,,,,R,43,43,86,6,19:01,228,31,28,16,29,R,6,7,13,0,15:50,73,30,10,1,3,R,13,29,42,1,16:53,136,40,22,5,11,,F
CALE MAKAR,23,COL,77,,,,,5,COL,44,,,,,COL,57,,,,,D,28,58,86,6,25:40,240,95,110,9,34,D,8,36,44,3,24:18,104,49,36,4,22,D,12,38,50,4,21:01,121,45,47,4,19,12,D
VICTOR HEDMAN,31,T.B,82,,,,,3,T.B,54,,,,,T.B,66,,,,,D,20,65,85,6,25:05,218,94,129,6,38,D,9,36,45,2,25:03,136,51,73,1,24,D,11,44,55,3,24:04,155,73,98,4,22,29,D
KEVIN FIALA,25,L.A,82,,,,,6,L.A,50,,,,,L.A,64,,,,,L,33,52,85,7,17:39,262,52,21,5,17,L,20,20,40,5,16:54,162,27,13,6,14,L,23,31,54,4,15:24,175,25,18,9,18,135,F
SIDNEY CROSBY,34,PIT,69,,,,,3,PIT,55,,,,,PIT,41,,,,,C,31,53,84,9,19:58,208,50,37,8,30,C,24,38,62,5,20:24,159,44,28,5,22,C,16,31,47,4,20:16,109,28,17,4,17,16,F
JAKE GUENTZEL,27,PIT,76,,,,,2,PIT,56,,,,,PIT,39,,,,,L,40,44,84,7,20:06,264,72,38,7,22,L,23,34,57,7,20:16,141,43,32,6,18,L,20,23,43,5,20:38,127,46,19,6,10,30,F
FILIP FORSBERG,27,NSH,69,,,,,6,NSH,39,,,,,NSH,63,,,,,L,42,42,84,8,18:06,226,112,48,10,27,L,12,20,32,3,18:17,129,47,14,3,13,L,21,27,48,5,17:21,198,82,27,7,14,121,F
VLADIMIR TARASENKO,30,STL,75,,,,,1,STL,24,,,,,STL,10,,,,,R,34,48,82,9,16:55,230,83,45,5,22,R,4,10,14,0,17:25,65,30,15,2,6,R,3,7,10,0,16:11,26,17,7,1,3,115,F
ELIAS LINDHOLM,27,CGY,82,,,,,2,CGY,56,,,,,CGY,70,,,,,C,42,40,82,9,19:57,235,66,52,10,19,C,19,28,47,4,19:54,130,53,34,6,16,C,29,25,54,7,19:43,169,93,41,8,19,78,F
SAM REINHART,26,FLA,78,,,,,2,FLA,54,,,,,FLA,69,,,,,R,33,49,82,6,17:46,186,49,30,16,31,R,25,15,40,5,19:32,130,15,27,10,16,R,22,28,50,2,20:38,144,36,27,5,12,77,F
JOE PAVELSKI,38,DAL,82,,,,,1,DAL,56,,,,,DAL,67,,,,,R,27,54,81,2,18:28,216,104,69,12,25,R,25,26,51,4,19:01,139,64,39,13,21,R,14,17,31,5,16:56,125,62,52,6,11,103,F
SEBASTIAN AHO,24,CAR,79,,,,,2,CAR,56,,,,,CAR,68,,,,,C,37,44,81,9,18:57,221,76,23,13,28,C,24,33,57,7,19:28,148,38,25,7,18,C,38,28,66,5,19:25,206,55,20,8,17,19,F
MIKA ZIBANEJAD,29,NYR,81,,,,,6,NYR,56,,,,,NYR,57,,,,,C,29,52,81,3,19:38,219,67,47,15,28,C,24,26,50,7,20:06,171,75,44,10,14,C,41,34,75,7,21:38,208,51,49,15,27,22,F
BRAD MARCHAND,34,BOS,70,,,,,3,BOS,53,,,,,BOS,70,,,,,L,32,48,80,6,19:15,242,78,20,7,27,L,29,40,69,5,18:55,143,66,11,4,18,L,28,59,87,5,19:27,185,55,19,5,28,10,F
WILLIAM NYLANDER,26,TOR,81,,,,,2,TOR,51,,,,,TOR,68,,,,,L,34,46,80,7,18:16,256,19,30,13,31,L,17,25,42,2,16:36,133,12,15,4,11,L,31,28,59,7,18:13,197,9,14,9,17,96,F
JASON ROBERTSON,22,DAL,74,,,,,0,DAL,51,,,,,DAL,3,,,,,L,41,38,79,11,18:07,220,50,24,13,21,L,17,28,45,3,16:53,127,28,13,1,6,L,0,1,1,0,12:19,4,1,0,0,1,89,F
MATS ZUCCARELLO,34,MIN,70,,,,,2,MIN,42,,,,,MIN,65,,,,,R,24,55,79,2,18:36,159,36,33,7,28,R,11,24,35,0,16:41,74,12,19,3,6,R,15,22,37,2,15:56,96,13,36,3,7,,F
EVGENY KUZNETSOV,30,WSH,79,,,,,3,WSH,41,,,,,WSH,63,,,,,C,24,54,78,4,20:17,208,42,25,8,27,C,9,20,29,4,16:34,78,21,18,1,8,C,19,33,52,0,17:51,129,35,16,6,12,66,F
ALEX DEBRINCAT,24,OTT,82,,,,,1,OTT,52,,,,,OTT,70,,,,,L,41,37,78,6,20:51,270,101,35,14,28,L,32,24,56,7,20:32,155,70,22,9,18,L,18,27,45,4,17:30,207,58,19,10,16,32,F
CHRIS KREIDER,31,NYR,81,,,,,5,NYR,50,,,,,NYR,63,,,,,L,52,25,77,11,18:43,258,141,39,26,35,L,20,10,30,4,17:24,102,115,35,11,14,L,24,21,45,5,17:15,156,116,42,9,13,166,F
DAVID PASTRNAK,26,BOS,72,,,,,1,BOS,48,,,,,BOS,70,,,,,R,40,37,77,9,18:36,312,63,14,15,26,R,20,28,48,3,18:37,176,35,13,6,14,R,48,47,95,10,18:58,279,47,22,20,38,7,F
PAVEL BUCHNEVICH,27,STL,73,,,,,3,STL,54,,,,,STL,68,,,,,L,30,46,76,3,18:18,199,57,15,8,19,L,20,28,48,2,18:44,120,49,29,1,8,L,16,30,46,1,16:56,148,80,22,4,9,193,F
TIMO MEIER,25,S.J,77,,,,,1,S.J,54,,,,,S.J,70,,,,,L,35,41,76,8,19:10,326,162,61,12,18,L,12,19,31,0,16:04,155,75,24,2,10,L,22,27,49,3,17:17,199,155,38,2,9,,F
JOHN TAVARES,31,TOR,79,,,,,3,TOR,56,,,,,TOR,63,,,,,C,27,49,76,3,18:04,237,90,44,10,26,C,19,31,50,2,18:12,163,51,28,6,12,C,26,34,60,4,19:33,197,32,31,7,21,38,F
ROBERT THOMAS,23,STL,72,,,,,6,STL,33,,,,,STL,66,,,,,C,20,56,76,6,18:46,115,13,25,3,14,C,3,9,12,1,13:36,22,5,11,0,0,C,10,32,42,2,14:34,87,13,13,1,7,,F
JORDAN KYROU,24,STL,74,,,,,1,STL,55,,,,,STL,28,,,,,R,27,48,75,4,16:35,188,6,23,5,19,R,14,21,35,2,14:25,98,7,13,0,3,R,4,5,9,0,10:54,39,8,8,0,1,,F
ADAM FOX,24,NYR,78,,,,,6,NYR,55,,,,,NYR,70,,,,,D,11,63,74,2,23:53,158,30,128,0,33,D,5,42,47,1,24:42,102,23,102,2,23,D,8,34,42,4,18:54,125,35,92,1,13,26,D
JESPER BRATT,23,N.J,76,,,,,0,N.J,46,,,,,N.J,60,,,,,R,26,47,73,6,17:26,197,26,30,3,18,R,7,23,30,1,16:05,101,31,18,2,8,R,16,16,32,2,13:59,101,29,22,1,6,,F
ROOPE HINTZ,25,DAL,80,,,,,1,DAL,41,,,,,DAL,60,,,,,C,37,35,72,7,18:02,213,82,53,9,24,C,15,28,43,1,18:14,92,52,15,6,18,C,19,14,33,5,14:45,120,73,28,3,14,63,F
JOHN CARLSON,32,WSH,78,,,,,4,WSH,52,,,,,WSH,69,,,,,D,17,54,71,2,23:49,195,73,112,7,25,D,10,34,44,1,23:47,128,52,69,3,15,D,15,60,75,6,24:38,189,55,108,2,26,24,D
MARK SCHEIFELE,29,WPG,67,,,,,2,WPG,56,,,,,WPG,71,,,,,C,29,41,70,3,21:08,159,36,47,7,18,C,21,42,63,4,20:59,126,31,38,4,17,C,29,44,73,6,21:48,170,34,49,10,20,39,F
ANDREI SVECHNIKOV,22,CAR,78,,,,,6,CAR,55,,,,,CAR,68,,,,,L,30,39,69,5,17:16,249,189,15,9,22,L,15,27,42,1,17:32,147,114,18,4,17,L,24,37,61,8,16:44,183,116,27,6,20,27,F
NIKITA KUCHEROV,29,T.B,47,,,,,5,,,,,,,T.B,68,,,,,R,25,44,69,1,19:59,156,32,7,9,30,,,,,,,,,,,,R,33,52,85,6,18:52,210,37,19,4,25,4,F
DYLAN LARKIN,25,DET,71,,,,,1,DET,44,,,,,DET,71,,,,,C,31,38,69,4,19:39,212,76,28,6,13,C,9,14,23,0,20:24,134,38,17,1,6,C,19,34,53,3,21:15,223,52,45,5,14,,F
KRIS LETANG,35,PIT,78,,,,,6,PIT,55,,,,,PIT,61,,,,,D,10,58,68,3,25:47,214,171,122,2,22,D,7,38,45,2,24:39,132,92,65,1,15,D,15,29,44,2,25:44,177,101,91,6,15,75,D
QUINN HUGHES,22,VAN,76,,,,,5,VAN,56,,,,,VAN,68,,,,,D,8,60,68,1,25:15,150,19,56,0,31,D,3,38,41,0,22:48,98,18,43,0,19,D,8,45,53,2,21:53,126,7,46,3,25,44,D
ELIAS PETTERSSON,23,VAN,80,,,,,2,VAN,26,,,,,VAN,68,,,,,C,32,36,68,3,18:36,192,49,43,10,27,C,10,11,21,1,18:34,63,11,9,4,5,C,27,39,66,6,18:32,162,63,42,8,24,46,F
MORGAN RIELLY,28,TOR,82,,,,,6,TOR,55,,,,,TOR,47,,,,,D,10,58,68,3,23:44,221,92,87,2,23,D,5,30,35,1,23:37,101,63,61,1,12,D,3,24,27,2,24:12,123,38,67,0,7,52,D
TAGE THOMPSON,24,BUF,78,,,,,1,BUF,38,,,,,BUF,1,,,,,C,38,30,68,4,17:53,253,66,25,10,16,C,8,6,14,0,13:52,96,25,8,2,3,C,0,0,0,0,06:59,0,2,0,0,0,,F
BRADY TKACHUK,22,OTT,79,,,,,6,OTT,56,,,,,OTT,71,,,,,L,30,37,67,3,18:48,288,270,25,10,18,L,17,19,36,3,18:14,220,248,23,5,10,L,21,23,44,3,18:56,259,303,43,2,8,25,F
ANZE KOPITAR,34,L.A,81,,,,,2,L.A,56,,,,,L.A,70,,,,,C,19,48,67,4,20:46,210,72,71,6,22,C,13,37,50,4,21:11,118,45,37,3,23,C,21,41,62,6,21:02,135,49,56,7,21,91,F
TROY TERRY,24,ANA,75,,,,,1,ANA,48,,,,,ANA,47,,,,,R,37,30,67,7,18:14,192,6,27,8,15,R,7,13,20,0,14:42,69,5,13,0,0,R,4,11,15,0,14:31,73,3,9,0,2,,F
JONATHAN MARCHESSAULT,31,VGK,76,,,,,2,VGK,55,,,,,VGK,66,,,,,L,30,36,66,4,17:35,251,61,17,5,20,L,18,26,44,4,17:25,176,44,14,3,6,L,22,25,47,5,17:17,235,99,12,6,12,88,F
TEUVO TERAVAINEN,27,CAR,77,,,,,2,CAR,21,,,,,CAR,68,,,,,L,22,43,65,2,17:42,202,15,30,9,31,L,5,10,15,2,16:26,49,8,9,0,2,L,15,48,63,2,19:12,182,18,30,4,21,138,F
RYAN HARTMAN,27,MIN,82,,,,,2,MIN,51,,,,,MIN,69,,,,,C,34,31,65,7,18:11,239,72,48,1,8,C,7,15,22,2,15:04,74,55,33,0,3,C,9,11,20,1,12:15,114,44,54,1,1,,F
PATRICE BERGERON,36,BOS,73,,,,,0,BOS,54,,,,,BOS,61,,,,,C,25,40,65,4,18:11,293,78,45,8,23,C,23,25,48,3,18:13,182,49,36,7,13,C,31,25,56,5,18:44,203,46,46,11,20,34,F
CLAUDE GIROUX,34,OTT,75,,,,,3,OTT,54,,,,,OTT,69,,,,,R,21,43,64,0,19:03,205,68,16,5,23,R,16,27,43,2,18:06,120,32,6,1,11,R,21,32,53,7,18:59,197,45,16,7,20,159,F
MIKAEL GRANLUND,30,NSH,80,,,,,3,NSH,51,,,,,NSH,63,,,,,C,11,53,64,3,20:25,117,92,45,3,28,C,13,14,27,1,19:28,74,46,42,5,7,C,17,13,30,4,17:48,130,42,55,4,6,,F
TOMAS HERTL,28,S.J,82,,,,,6,S.J,50,,,,,S.J,48,,,,,C,30,34,64,6,19:57,205,105,57,6,16,C,19,24,43,2,19:07,112,39,39,4,10,C,16,20,36,1,18:27,117,29,25,2,7,126,F
CHANDLER STEPHENSON,28,VGK,79,,,,,2,VGK,51,,,,,VGK,65,,,,,C,21,43,64,3,19:18,125,68,44,6,14,C,14,21,35,5,18:06,83,43,35,2,5,C,11,15,26,5,14:19,73,52,32,1,2,,F
CLAYTON KELLER,23,ARI,67,,,,,6,ARI,56,,,,,ARI,70,,,,,L,28,35,63,2,20:08,177,17,31,5,11,L,14,21,35,3,16:40,124,20,14,4,10,L,17,27,44,2,16:18,184,20,13,2,15,,F
JEFF SKINNER,30,BUF,80,,,,,5,BUF,53,,,,,BUF,59,,,,,L,33,30,63,4,17:05,262,29,20,5,11,L,7,7,14,0,14:31,111,20,12,1,1,L,14,9,23,1,16:29,183,29,11,0,3,,F
MICHAEL BUNTING,26,TOR,79,,,,,1,TOR,21,,,,,,,,,,,L,23,40,63,2,15:32,175,85,21,2,5,L,10,3,13,1,16:42,38,28,1,3,3,,,,,,,,,,,,,F
RYAN JOHANSEN,29,NSH,79,,,,,3,NSH,48,,,,,NSH,68,,,,,C,26,37,63,6,16:34,118,72,35,11,24,C,7,15,22,0,16:57,67,43,16,3,7,C,14,22,36,2,17:03,101,39,34,3,9,,F
TYLER BERTUZZI,27,DET,68,,,,,1,DET,9,,,,,DET,71,,,,,L,30,32,62,5,19:52,180,65,41,6,14,L,5,2,7,1,19:37,20,13,3,3,4,L,21,27,48,1,19:19,129,71,30,3,14,181,F
JAKUB VORACEK,32,CBJ,79,,,,,2,CBJ,53,,,,,CBJ,69,,,,,R,6,56,62,2,17:27,147,27,28,2,25,R,9,34,43,2,16:55,104,17,20,0,8,R,12,44,56,3,17:03,132,17,21,4,17,157,F
ANDRE BURAKOVSKY,27,SEA,80,,,,,5,SEA,53,,,,,SEA,58,,,,,L,22,39,61,5,16:16,149,49,34,4,11,L,19,25,44,3,15:05,102,22,16,4,14,L,20,25,45,6,15:12,103,26,34,2,11,112,F
NICK SUZUKI,22,MTL,82,,,,,6,MTL,56,,,,,MTL,71,,,,,C,21,40,61,4,20:30,186,89,62,8,20,C,15,26,41,1,18:11,110,70,38,5,13,C,13,28,41,1,15:59,138,64,32,6,14,90,F
TREVOR ZEGRAS,21,ANA,75,,,,,1,ANA,24,,,,,,,,,,,C,23,38,61,5,17:54,181,56,27,9,17,C,3,10,13,0,15:24,53,7,4,0,0,,,,,,,,,,,,,F
TAYLOR HALL,30,BOS,81,,,,,3,BOS,53,,,,,BOS,65,,,,,L,20,41,61,3,16:25,217,55,36,7,15,L,10,23,33,1,17:52,136,34,15,2,8,L,16,36,52,1,19:10,232,47,29,4,18,94,F
BLAKE WHEELER,35,WPG,65,,,,,2,WPG,50,,,,,WPG,71,,,,,R,17,43,60,2,19:32,167,62,37,3,20,R,15,31,46,2,18:20,113,63,30,4,15,R,22,43,65,2,19:19,180,102,51,4,22,93,F
